,constituency,eligible_voters,line,num_candidates,state,valid_votes,votes_cast,candidate,party,percent,votes
0,Kayan-1,41226.0,1.0,4.0,Yangon,31328.0,33996.0,Kyaw Thwin,NLD,68,21278
1,Kayan-1,41226.0,1.0,4.0,Yangon,31328.0,33996.0,Than Maung,NUP,27,8408
0,Kayan-2,40018.0,5.0,6.0,Yangon,28841.0,32524.0,Tin Maung Win,NLD,60,17428
1,Kayan-2,40018.0,5.0,6.0,Yangon,28841.0,32524.0,Zaw Win,NUP,35,10027
0,Wakema-2,72831.0,9.0,4.0,Ayeyarwady,41528.0,49584.0,Col. Thet Wai,NUP,43,17893
1,Wakema-2,72831.0,9.0,4.0,Ayeyarwady,41528.0,49584.0,Myint Swe,LDP,30,12307
2,Wakema-2,72831.0,9.0,4.0,Ayeyarwady,41528.0,49584.0,Dr. Saw Bei Htoo,UKL,23,9629
0,Mandalay North East-1,37046.0,18.0,8.0,Mandalay,29005.0,30833.0,Maung Maung Aye,NLD,83,24100
1,Mandalay North East-1,37046.0,18.0,8.0,Mandalay,29005.0,30833.0,Kyaw Aye,WUO,10,2822
0,Minbu-1,43600.0,22.0,6.0,Magway,28506.0,31928.0,Soe Myint,NLD,75,21324
1,Minbu-1,43600.0,22.0,6.0,Magway,28506.0,31928.0,Col. Kyi Thein,WUO,20,5685
0,Minbu-2,42102.0,26.0,3.0,Magway,24456.0,28063.0,Hla Soe,NLD,85,20719
1,Minbu-2,42102.0,26.0,3.0,Magway,24456.0,28063.0,Win,LDP-141,11,2621
0,Mandalay North West-2,50451.0,31.0,6.0,Mandalay,35234.0,380943.0,Aung Soe,NLD,67,23576
1,Mandalay North West-2,50451.0,31.0,6.0,Mandalay,35234.0,380943.0,Col. Chit Yi,NUP,31,10782
0,Ngaphe,21337.0,35.0,3.0,Magway,15107.0,17077.0,Kyi Lwin,NLD,72,10807
1,Ngaphe,21337.0,35.0,3.0,Magway,15107.0,17077.0,Tin Sein,NUP,26,3945
0,Mandalay North East-2,38885.0,39.0,6.0,Mandalay,29401.0,30746.0,Tin Aye,NLD,77,22547
1,Mandalay North East-2,38885.0,39.0,6.0,Mandalay,29401.0,30746.0,Tin Maung,NUP,16,4621
0,Kunyangonn,56590.0,43.0,6.0,Yangon,42287.0,47680.0,Gun,NLD,67,28198
1,Kunyangonn,56590.0,43.0,6.0,Yangon,42287.0,47680.0,Kyaw Nyunt,NUP,25,10763
0,Patheingyi-1,36244.0,47.0,6.0,Mandalay,24662.0,27769.0,Hsan Nyunt Wain,NLD,66,16336
1,Patheingyi-1,36244.0,47.0,6.0,Mandalay,24662.0,27769.0,Tun Kyi,NUP,29,7206
0,Patheingyi-2,34087.0,51.0,7.0,Mandalay,24014.0,27070.0,Lt-Col San Hla Baw,NLD,58,13870
1,Patheingyi-2,34087.0,51.0,7.0,Mandalay,24014.0,27070.0,Kyaung,PUO,27,6587
2,Patheingyi-2,34087.0,51.0,7.0,Mandalay,24014.0,27070.0,Naing Win,independent,11,2732
0,Kyaiklat-1,45458.0,56.0,4.0,Ayeyarwady,30873.0,35056.0,Than Tin,NLD,53,16451
1,Kyaiklat-1,45458.0,56.0,4.0,Ayeyarwady,30873.0,35056.0,Maung Mya,NUP,41,12596
0,Kyaiklat-2,46027.0,60.0,4.0,Ayeyarwady,29710.0,33590.0,Tin Win,NLD,48,14351
1,Kyaiklat-2,46027.0,60.0,4.0,Ayeyarwady,29710.0,33590.0,Saw Myint Thein,NUP,43,12774
0,Pyapon-2,52684.0,64.0,5.0,Ayeyarwady,31864.0,34758.0,Min Swe,NLD,64,20358
1,Pyapon-2,52684.0,64.0,5.0,Ayeyarwady,31864.0,34758.0,Aye Ko,PUO,33,10404
0,Dedaye-2,52412.0,68.0,6.0,Ayeyarwady,34384.0,39577.0,Than Tun,NLD,57,19612
1,Dedaye-2,52412.0,68.0,6.0,Ayeyarwady,34384.0,39577.0,Nyunt Maung,NUP,33,11368
0,Nattalin-1,47418.0,72.0,4.0,Bago,33017.0,38764.0,Ohn Ngwe,NLD,74,24388
1,Nattalin-1,47418.0,72.0,4.0,Bago,33017.0,38764.0,Daw Aye Myint,PUO,23,7646
0,Nattalin-2,48088.0,76.0,5.0,Bago,32112.0,37488.0,Saw Sein Tun,NLD,73,23548
1,Nattalin-2,48088.0,76.0,5.0,Bago,32112.0,37488.0,Aung Thein,NUP,24,7581
0,Amarapura-1,42741.0,80.0,6.0,Mandalay,31829.0,34831.0,Zaw Myint Maung,NLD,66,21119
1,Amarapura-1,42741.0,80.0,6.0,Mandalay,31829.0,34831.0,Thain Han,NUP,26,8210
0,Amarapura-2,43735.0,84.0,5.0,Mandalay,35226.0,37185.0,Ba Bwa,NLD,69,24163
1,Amarapura-2,43735.0,84.0,5.0,Mandalay,35226.0,37185.0,Than Maung,NUP,23,8147
0,Hlegu-1,79523.0,89.0,4.0,Yangon,45831.0,54235.0,Saw Kyaw Sein,NLD,57,26113
1,Hlegu-1,79523.0,89.0,4.0,Yangon,45831.0,54235.0,Ye Win,NUP,39,17815
0,Hlegu-2,30784.0,93.0,5.0,Yangon,20344.0,23143.0,San Tin,NLD,72,14640
1,Hlegu-2,30784.0,93.0,5.0,Yangon,20344.0,23143.0,Daw Thein Htay,NUP,18,3719
0,Kyauktan-1,37399.0,97.0,4.0,Yangon,26200.0,31668.0,Than Nyein,NLD,65,17018
1,Kyauktan-1,37399.0,97.0,4.0,Yangon,26200.0,31668.0,Thein Tun,NUP,28,7331
0,Kyauktan-2,34840.0,101.0,3.0,Yangon,24602.0,28169.0,Soe Nyunt,NLD,66,16226
1,Kyauktan-2,34840.0,101.0,3.0,Yangon,24602.0,28169.0,Aung Khaing,NUP,30,7390
0,Kyobingauk-1,35256.0,105.0,5.0,Bago,21079.0,25007.0,Aye Myint,NLD,60,12739
1,Kyobingauk-1,35256.0,105.0,5.0,Bago,21079.0,25007.0,Khin Maung Win,NUP,33,6991
0,Okpo-1,34368.0,109.0,6.0,Bago,19700.0,23523.0,Tin Oo,NLD,52,10166
1,Okpo-1,34368.0,109.0,6.0,Bago,19700.0,23523.0,Mar Ga,PUO,33,6434
0,Okpo-2,39086.0,113.0,7.0,Bago,22873.0,26435.0,Tha Maung,NLD,54,12443
1,Okpo-2,39086.0,113.0,7.0,Bago,22873.0,26435.0,Tin Kyi,NUP,32,7354
0,Zigon,41957.0,117.0,5.0,Bago,28158.0,33429.0,San Tin,NLD,57,15992
1,Zigon,41957.0,117.0,5.0,Bago,28158.0,33429.0,Brig-Gen Than Tin,NUP,35,9943
0,Minhla-1,36120.0,121.0,5.0,Bago,24366.0,27489.0,Tint Lwin,NLD,66,16110
1,Minhla-1,36120.0,121.0,5.0,Bago,24366.0,27489.0,Col. Thein Ngwe,NUP,26,6220
0,Minhla-2,35260.0,125.0,5.0,Bago,23568.0,23568.0,Daw Hla Hla Moe,NLD,69,16282
1,Minhla-2,35260.0,125.0,5.0,Bago,23568.0,23568.0,Maung Maung,NUP,26,6236
0,Bhamo,48181.0,129.0,6.0,Kachin,27550.0,32055.0,Pu Htwe,NLD,71,19433
1,Bhamo,48181.0,129.0,6.0,Kachin,27550.0,32055.0,Kam Twe,NUP,17,4612
0,Momauk,13104.0,133.0,6.0,Kachin,6501.0,7602.0,Thaung Ngwe,NLD,45,2954
1,Momauk,13104.0,133.0,6.0,Kachin,6501.0,7602.0,Mo Ngin,SNLD,31,2036
2,Momauk,13104.0,133.0,6.0,Kachin,6501.0,7602.0,Po Yin,NUP,10,648
0,Sagaing-2,77887.0,142.0,7.0,Sagaing,57674.0,62961.0,Dr. Khin Maung Swe,NLD,72,41523
1,Sagaing-2,77887.0,142.0,7.0,Sagaing,57674.0,62961.0,Khin Maung,NUP,24,13745
0,Myaung-2,33485.0,146.0,5.0,Sagaing,24205.0,26741.0,Min Thwin,NLD,41,9941
1,Myaung-2,33485.0,146.0,5.0,Sagaing,24205.0,26741.0,Zay Yar,independent,31,7612
2,Myaung-2,33485.0,146.0,5.0,Sagaing,24205.0,26741.0,Shwe Khaing,NUP,22,5431
0,Myinmu-1,29892.0,154.0,4.0,Sagaing,22545.0,24679.0,Ba Ba,NLD,73,16477
1,Myinmu-1,29892.0,154.0,4.0,Sagaing,22545.0,24679.0,Htay Aung,NUP,26,5783
0,Myinmu-2,30935.0,158.0,3.0,Sagaing,22398.0,24653.0,Tin Ngwe,NLD,72,16151
1,Myinmu-2,30935.0,158.0,3.0,Sagaing,22398.0,24653.0,Sein Tun,PUO,27,5944
0,Myaung-1,33415.0,162.0,5.0,Sagaing,24747.0,26885.0,Win Shein,independent,39,9749
1,Myaung-1,33415.0,162.0,5.0,Sagaing,24747.0,26885.0,Aung Tun,NLD,33,8175
2,Myaung-1,33415.0,162.0,5.0,Sagaing,24747.0,26885.0,Aye Maung,NUP,25,6148
0,Ngazun-1,39852.0,170.0,3.0,Sagaing,24881.0,28600.0,Chit Khaing,NLD,68,16881
1,Ngazun-1,39852.0,170.0,3.0,Sagaing,24881.0,28600.0,Khin Maung Oo,NUP,30,7355
0,Sagaing-1,71844.0,174.0,8.0,Sagaing,52772.0,58103.0,Col. Soe Thein,NLD,70,37037
1,Sagaing-1,71844.0,174.0,8.0,Sagaing,52772.0,58103.0,Tun Maung,PUO,22,11653
0,Ngazun-2,40271.0,178.0,3.0,Sagaing,25676.0,30722.0,Cho Hlaing,NLD,72,18480
1,Ngazun-2,40271.0,178.0,3.0,Sagaing,25676.0,30722.0,Khin Maung Maung,NUP,25,6339
0,Kyaukkyi,43167.0,183.0,3.0,Bago,20343.0,23512.0,Tun Oo,NLD,71,14461
1,Kyaukkyi,43167.0,183.0,3.0,Bago,20343.0,23512.0,Saw Myo Thwe,NUP,25,5086
0,Taungoo-1,54044.0,187.0,6.0,Bago,31543.0,35458.0,Aung Soe Myint,NLD,68,21369
1,Taungoo-1,54044.0,187.0,6.0,Bago,31543.0,35458.0,Thein Hlaing,NUP,20,6354
0,Taungoo-2,55749.0,191.0,5.0,Bago,30405.0,36178.0,Nyunt Wai,NLD,67,20401
1,Taungoo-2,55749.0,191.0,5.0,Bago,30405.0,36178.0,Saw Truman,NUP,25,7567
0,Pyay-1 [Prome],59592.0,195.0,7.0,Bago,35315.0,40181.0,Maung Ohn,NUP,42,14850
1,Pyay-1 [Prome],59592.0,195.0,7.0,Bago,35315.0,40181.0,Thein Zan,NLD,35,12229
2,Pyay-1 [Prome],59592.0,195.0,7.0,Bago,35315.0,40181.0,Dr. Khin Maung Win,indep,17,6161
0,Pyay-2,62493.0,200.0,6.0,Bago,36768.0,40662.0,Thaung Sein,NLD,52,18941
1,Pyay-2,62493.0,200.0,6.0,Bago,36768.0,40662.0,Soe,NUP,40,14535
0,Paukkaung,56337.0,204.0,8.0,Bago,35063.0,39412.0,Sein Win,PND,50,17511
1,Paukkaung,56337.0,204.0,8.0,Bago,35063.0,39412.0,Ohn Thein,NUP,41,14448
0,Thayarwady-1,42498.0,209.0,6.0,Bago,27877.0,32283.0,San Win,NLD,55,15309
1,Thayarwady-1,42498.0,209.0,6.0,Bago,27877.0,32283.0,Tin Yu,NUP,34,9363
0,Thayarwady-2,42597.0,213.0,6.0,Bago,24473.0,28446.0,Maung Aye,NLD,60,14747
1,Thayarwady-2,42597.0,213.0,6.0,Bago,24473.0,28446.0,Maj Aung Khin,NUP,33,8015
0,Maubin-1,78823.0,217.0,6.0,Ayeyarwady,49787.0,57426.0,Chit Than,NUP,48,23861
1,Maubin-1,78823.0,217.0,6.0,Ayeyarwady,49787.0,57426.0,Thaung Aye,NLD,45,22497
0,Maubin-2,79605.0,221.0,5.0,Ayeyarwady,46628.0,52563.0,Hla Myint,NLD,55,25855
1,Maubin-2,79605.0,221.0,5.0,Ayeyarwady,46628.0,52563.0,Aung Thaung,NUP,40,18828
0,Kalaw,62010.0,225.0,6.0,Shan,31178.0,37984.0,Myint Than,UDLDP,36,11232
1,Kalaw,62010.0,225.0,6.0,Shan,31178.0,37984.0,Tommy Aung,NLD,23,7063
2,Kalaw,62010.0,225.0,6.0,Shan,31178.0,37984.0,Ngwe Soe,NUP,21,6673
0,Mansi,7447.0,233.0,4.0,Kachin,4387.0,5362.0,J.M. Nolla,NLD,55,2434
1,Mansi,7447.0,233.0,4.0,Kachin,4387.0,5362.0,Phauyam Kamtwe,NUP,27,1182
2,Mansi,7447.0,233.0,4.0,Kachin,4387.0,5362.0,Ba Maw,SNLD,13,550
0,Mandalay North West-1,46015.0,241.0,6.0,Mandalay,36630.0,38138.0,Tin Aung Aung,NLD,80,29443
1,Mandalay North West-1,46015.0,241.0,6.0,Mandalay,36630.0,38138.0,Thein Hla,NUP,16,5703
0,Mandalay South East-1,46419.0,245.0,8.0,Mandalay,36910.0,39253.0,Tin Nyunt,NLD,80,29642
1,Mandalay South East-1,46419.0,245.0,8.0,Mandalay,36910.0,39253.0,Than Oo,NUP,14,5321
0,Mandalay South East-2,58988.0,249.0,6.0,Mandalay,43002.0,46326.0,Ohn Kyaing,NLD,76,32718
1,Mandalay South East-2,58988.0,249.0,6.0,Mandalay,43002.0,46326.0,Min Kyaw,NUP,20,8608
0,Thayetchaung,33182.0,253.0,4.0,Tanintharyi,17038.0,21697.0,Tin Myint,NLD,91,15522
1,Thayetchaung,33182.0,253.0,4.0,Tanintharyi,17038.0,21697.0,Nay Win,NUP,8,1305
0,Launglon-1,37442.0,257.0,3.0,Tanintharyi,19614.0,25133.0,Hla Pe,NLD,88,17241
1,Launglon-1,37442.0,257.0,3.0,Tanintharyi,19614.0,25133.0,Col. Aung Myint,NUP,11,2135
0,Launglon-2,33723.0,261.0,3.0,Tanintharyi,18015.0,22759.0,Chain Hin,NLD,81,14667
1,Launglon-2,33723.0,261.0,3.0,Tanintharyi,18015.0,22759.0,Seinn Maung,NUP,17,3143
0,Dawei-1 [Tavoy],34527.0,265.0,3.0,Tanintharyi,20110.0,23456.0,Soe Nyunt,NLD,85,17059
1,Dawei-1 [Tavoy],34527.0,265.0,3.0,Tanintharyi,20110.0,23456.0,Col. Than Hla,NUP,13,2598
0,Dawei-2,34766.0,269.0,3.0,Tanintharyi,20656.0,23677.0,Myo Aung,NLD,87,17906
1,Dawei-2,34766.0,269.0,3.0,Tanintharyi,20656.0,23677.0,Lt-Col Ba Hla,Unknown,11,2329
0,Kyaikmaraw-1,39948.0,274.0,5.0,Mon,19968.0,24640.0,Myint Thein,NLD,53,10576
1,Kyaikmaraw-1,39948.0,274.0,5.0,Mon,19968.0,24640.0,Nai Pan Hla,MNDF,23,4666
2,Kyaikmaraw-1,39948.0,274.0,5.0,Mon,19968.0,24640.0,Daw Thein Kyaw,NUP,18,3507
0,Kyaikmaraw-2,44824.0,282.0,6.0,Mon,27517.0,32550.0,Nai Khin Maung,MNDF,42,11528
1,Kyaikmaraw-2,44824.0,282.0,6.0,Mon,27517.0,32550.0,Tin Ngwe,NLD,41,11270
2,Kyaikmaraw-2,44824.0,282.0,6.0,Mon,27517.0,32550.0,Bo Kya Gyi,NUP,12,3211
0,Dedaye-1,49076.0,290.0,3.0,Ayeyarwady,30884.0,35788.0,Myo Nyunt,NLD,58,17957
1,Dedaye-1,49076.0,290.0,3.0,Ayeyarwady,30884.0,35788.0,Capt Tun Aye,NUP,36,11200
0,Yedashe-1,42297.0,294.0,4.0,Bago,27413.0,32544.0,Dr. Kyaw Kyaw,NLD,58,15874
1,Yedashe-1,42297.0,294.0,4.0,Bago,27413.0,32544.0,Chit Kyin,NUP,38,10541
0,Yedashe-2,43647.0,298.0,3.0,Bago,29014.0,32784.0,Tun Aung,NLD,61,17571
1,Yedashe-2,43647.0,298.0,3.0,Bago,29014.0,32784.0,Aung Khin,NUP,36,10512
0,Pyu-1,47205.0,302.0,4.0,Bago,27392.0,31432.0,Aung Than,NLD,66,18067
1,Pyu-1,47205.0,302.0,4.0,Bago,27392.0,31432.0,Nyunt Han,NUP,31,8601
0,Pyu-2,65024.0,306.0,5.0,Bago,36948.0,41432.0,Soe Maung,NLD,64,23588
1,Pyu-2,65024.0,306.0,5.0,Bago,36948.0,41432.0,Tun Kyi,WUO,33,12112
0,Htantabin,50435.0,311.0,4.0,Bago,30089.0,36471.0,Chit Maung,NLD,65,19665
1,Htantabin,50435.0,311.0,4.0,Bago,30089.0,36471.0,Tin Win,NUP,22,6712
0,Oktwin-1,32918.0,315.0,5.0,Bago,18228.0,23535.0,Thein Oo,NLD,60,10881
